,portfolio_return,equity,portfolio_return_gross,turnover,transaction_cost
2022-03-08,0.003001059692267537,1.8325499194550894,0.00317358934073,0.17252964846246271,0.00017252964846246272
2022-03-09,0.0053105246014969,1.8422817208858266,0.0053105246014969,0.0,0.0
2022-03-10,-0.0076332600179141,1.8282191054840549,-0.0076332600179141,0.0,0.0
2022-03-11,-0.0077271851359349,1.8140921179869263,-0.0077271851359349,0.0,0.0
2022-03-14,-0.0146679144423209,1.7874831700098055,-0.0146679144423209,0.0,0.0
2022-03-15,0.0050746030436857,1.7965539375448742,0.0050746030436857,0.0,0.0
2022-03-16,0.0220367563589369,1.8361441589522396,0.0220367563589369,0.0,0.0
2022-03-17,0.0114145877338023,1.8571029875465086,0.0114145877338023,0.0,0.0
2022-03-18,0.0068303247173109,1.8697876039849395,0.0068303247173109,0.0,0.0
2022-03-21,-0.0025728598625089,1.86497690250723,-0.0025728598625089,0.0,0.0
2022-03-22,0.0054764667863849,1.8751903865711859,0.0054764667863849,0.0,0.0
2022-03-23,-0.0021919351067596,1.8710800909310024,-0.0021919351067596,0.0,0.0
2022-03-24,0.0057476781579031,1.881834457101334,0.0057476781579031,0.0,0.0
2022-03-25,-0.0015222587039225,1.8789698182196701,-0.0015222587039225,0.0,0.0
2022-03-28,-0.0020336739667481,1.8751486062160514,-0.0020336739667481,0.0,0.0
2022-03-29,0.013212606024514,1.8999242059874004,0.013212606024514,0.0,0.0
2022-03-30,-0.0016991265008934,1.8966959944193182,-0.0016991265008934,0.0,0.0
2022-03-31,-0.0094310270693949,1.8788082031535367,-0.0094310270693949,0.0,0.0
2022-04-01,0.0044065065208088,1.8870871837520817,0.0044065065208088,0.0,0.0
2022-04-04,0.0080226078554219,1.9022265442163173,0.0080226078554219,0.0,0.0
2022-04-05,-0.0142625046067769,1.8750960293662988,-0.0142625046067769,0.0,0.0
2022-04-06,-0.009059766748570723,1.858108096709069,-0.008760436748059,0.2993300005117223,0.00029933000051172233
2022-04-07,-0.0008699184097814,1.856491694268378,-0.0008699184097814,0.0,0.0
2022-04-08,-0.0026313312315758,1.8516066496920887,-0.0026313312315758,0.0,0.0
2022-04-11,-0.0100965164877871,1.8329118726245763,-0.0100965164877871,0.0,0.0
2022-04-12,0.0032390657866429,1.838848794761126,0.0032390657866429,0.0,0.0
2022-04-13,0.0098723319401455,1.8570025204507443,0.0098723319401455,0.0,0.0
2022-04-14,-0.0092864279699831,1.8397576003045013,-0.0092864279699831,0.0,0.0
2022-04-18,-0.0012341424356734,1.8374870773786127,-0.0012341424356734,0.0,0.0
2022-04-19,-0.0026073992437096,1.8326960149627296,-0.0026073992437096,0.0,0.0
2022-04-20,0.0035920394480153,1.8392791313446963,0.0035920394480153,0.0,0.0
2022-04-21,-0.0100574325203098,1.820780705595183,-0.0100574325203098,0.0,0.0
2022-04-22,-0.0121376871830032,1.7986806389618208,-0.0121376871830032,0.0,0.0
2022-04-25,0.0015959553017853,1.8015512528637905,0.0015959553017853,0.0,0.0
2022-04-26,-0.0089442734906147,1.7854376857508172,-0.0089442734906147,0.0,0.0
2022-04-27,-0.0016698908743234,1.7824561996527086,-0.0016698908743234,0.0,0.0
2022-04-28,0.0109450728503819,1.8019653126105224,0.0109450728503819,0.0,0.0
2022-04-29,-0.0137439570269927,1.777199178789872,-0.0137439570269927,0.0,0.0
2022-05-02,-0.0017093370759372,1.7741613463422412,-0.0017093370759372,0.0,0.0
2022-05-03,0.0030492005638683,1.7795711201199012,0.0030492005638683,0.0,0.0
2022-05-04,0.0163023952355187,1.8085823918698107,0.0163023952355187,0.0,0.0
2022-05-05,-0.0232478057868039,1.7665368196741882,-0.0232478057868039,0.0,0.0
2022-05-06,-0.007618198013275406,1.7530789923841683,-0.0075728857657535,0.04531224752190521,4.531224752190522e-05
2022-05-09,-0.0183816238309611,1.7208545538002022,-0.0183816238309611,0.0,0.0
2022-05-10,0.0030270528183374,1.726063671427232,0.0030270528183374,0.0,0.0
2022-05-11,-0.0002664399568508,1.725603779097095,-0.0002664399568508,0.0,0.0
2022-05-12,-0.0014984006625988,1.723018133251113,-0.0014984006625988,0.0,0.0
2022-05-13,0.0097423340473724,1.7398043514749253,0.0097423340473724,0.0,0.0
2022-05-16,0.0011851061241923,1.7418662042667548,0.0011851061241923,0.0,0.0
2022-05-17,0.0048745188331326,1.75035696388425,0.0048745188331326,0.0,0.0
2022-05-18,-0.0131329324292693,1.7273696441504571,-0.0131329324292693,0.0,0.0
2022-05-19,0.005699965973559,1.7372155923458734,0.005699965973559,0.0,0.0
2022-05-20,0.0029541269757891,1.742347547789984,0.0029541269757891,0.0,0.0
2022-05-23,0.0049002158881571,1.7508854269263558,0.0049002158881571,0.0,0.0
2022-05-24,0.0007724350918067,1.7522378722718468,0.0007724350918067,0.0,0.0
2022-05-25,0.0063215013462478,1.7633146463403597,0.0063215013462478,0.0,0.0
2022-05-26,0.0092734918057215,1.7796667302641058,0.0092734918057215,0.0,0.0
2022-05-27,0.0111169897578603,1.7994512670768565,0.0111169897578603,0.0,0.0
2022-05-31,-0.0070803428353769,1.786710535190399,-0.0070803428353769,0.0,0.0
2022-06-01,-0.0036932321850612,1.7801117983364458,-0.0036932321850612,0.0,0.0
2022-06-02,0.0126257199595195,1.8025869913988783,0.0126257199595195,0.0,0.0
2022-06-03,-0.0083454609005822,1.787543572142261,-0.0083454609005822,0.0,0.0
2022-06-06,-0.0023917419188758,1.7832682292489515,-0.0023917419188758,0.0,0.0
2022-06-07,0.0070098144176439225,1.7957686085928672,0.0072660275870564,0.25621316941247696,0.000256213169412477
2022-06-08,-0.0075476000001866,1.7822148654423167,-0.0075476000001866,0.0,0.0
2022-06-09,-0.0111596658469213,1.7623259430765645,-0.0111596658469213,0.0,0.0
2022-06-10,-0.0152630519975535,1.7354274705707493,-0.0152630519975535,0.0,0.0
2022-06-13,-0.0314929757110519,1.6807736953917725,-0.0314929757110519,0.0,0.0
2022-06-14,-0.005864367409054,1.6709170209105215,-0.005864367409054,0.0,0.0
2022-06-15,0.01624726649155,1.6980648550345216,0.01624726649155,0.0,0.0
2022-06-16,-0.0113716032788472,1.678755135161316,-0.0113716032788472,0.0,0.0
2022-06-17,-0.0016220404502947,1.6760321264259443,-0.0016220404502947,0.0,0.0
2022-06-21,0.004496970010471,1.6835691926350675,0.004496970010471,0.0,0.0
2022-06-22,0.0035869626313971,1.689608092416421,0.0035869626313971,0.0,0.0
